"","id","noi","category","category_1to5","category_5to10","category_10to15","category_15to20","category_20+","category_NA"
"69",69,"8","5to10",0,1,0,0,0,0
"70",70,"2","1to5",1,0,0,0,0,0
"71",71,"19","15to20",0,0,0,1,0,0
"72",72,"16","15to20",0,0,0,1,0,0
"73",73,"2","1to5",1,0,0,0,0,0
"74",74,"12","10to15",0,0,1,0,0,0
"75",75,"19","15to20",0,0,0,1,0,0
"76",76,"10","5to10",0,1,0,0,0,0
"77",77,"4","1to5",1,0,0,0,0,0
"78",78,"15","10to15",0,0,1,0,0,0
"79",79,"2","1to5",1,0,0,0,0,0
"80",80,"6","5to10",0,1,0,0,0,0
"81",81,"23","20+",0,0,0,0,1,0
"82",82,"6","5to10",0,1,0,0,0,0
"83",83,"1","1to5",1,0,0,0,0,0
"84",84,"6","5to10",0,1,0,0,0,0
"85",85,"3","1to5",1,0,0,0,0,0
"86",86,"1","1to5",1,0,0,0,0,0
"87",87,"3","1to5",1,0,0,0,0,0
"88",88,"12","10to15",0,0,1,0,0,0
"89",89,"7","5to10",0,1,0,0,0,0
"90",90,"13","10to15",0,0,1,0,0,0
"91",91,"7","5to10",0,1,0,0,0,0
"92",92,"4","1to5",1,0,0,0,0,0
"93",93,"12","10to15",0,0,1,0,0,0
"94",94,"18","15to20",0,0,0,1,0,0
"95",95,"14","10to15",0,0,1,0,0,0
"96",96,"23","20+",0,0,0,0,1,0
"97",97,"9","5to10",0,1,0,0,0,0
"98",98,"10","5to10",0,1,0,0,0,0
"99",99,"23","20+",0,0,0,0,1,0
"100",100,"11","10to15",0,0,1,0,0,0
"101",101,"9","5to10",0,1,0,0,0,0
"102",102,"23","20+",0,0,0,0,1,0
"103",103,"15","10to15",0,0,1,0,0,0
"104",104,"30","20+",0,0,0,0,1,0
"105",105,"14","10to15",0,0,1,0,0,0
"106",106,"9","5to10",0,1,0,0,0,0
"107",107,"28","20+",0,0,0,0,1,0
"108",108,"10","5to10",0,1,0,0,0,0
"109",109,"10","5to10",0,1,0,0,0,0
"110",110,"1","1to5",1,0,0,0,0,0
"111",111,"28","20+",0,0,0,0,1,0
"112",112,"5","1to5",1,0,0,0,0,0
"113",113,"5","1to5",1,0,0,0,0,0
"114",114,"13","10to15",0,0,1,0,0,0
"115",115,"7","5to10",0,1,0,0,0,0
"116",116,"3","1to5",1,0,0,0,0,0
"117",117,"4","1to5",1,0,0,0,0,0
"118",118,"19","15to20",0,0,0,1,0,0
"119",119,"14","10to15",0,0,1,0,0,0
"120",120,"18","15to20",0,0,0,1,0,0
"121",121,"19","15to20",0,0,0,1,0,0
"122",122,"13","10to15",0,0,1,0,0,0
"123",123,"19","15to20",0,0,0,1,0,0
"124",124,"7","5to10",0,1,0,0,0,0
"125",125,"16","15to20",0,0,0,1,0,0
"126",126,"7","5to10",0,1,0,0,0,0
