"","id","Lead_Investors","Lead_Investors_1","Lead_Investors_2","Lead_Investors_3","Lead_Investors_4","Lead_Investors_5","Lead_Investors_6","Lead_Investors_7","Lead_Investors_8","Lead_Investors_9","Lead_Investors_NA"
"199",199,"1",1,0,0,0,0,0,0,0,0,0
"200",200,"2",0,1,0,0,0,0,0,0,0,0
"201",201,"3",0,0,1,0,0,0,0,0,0,0
"202",202,"2",0,1,0,0,0,0,0,0,0,0
"203",203,"2",0,1,0,0,0,0,0,0,0,0
"204",204,"5",0,0,0,0,1,0,0,0,0,0
"205",205,"1",1,0,0,0,0,0,0,0,0,0
"206",206,"4",0,0,0,1,0,0,0,0,0,0
"207",207,"4",0,0,0,1,0,0,0,0,0,0
"208",208,"3",0,0,1,0,0,0,0,0,0,0
"209",209,"6",0,0,0,0,0,1,0,0,0,0
"210",210,"NA",0,0,0,0,0,0,0,0,0,1
"211",211,"1",1,0,0,0,0,0,0,0,0,0
"212",212,"3",0,0,1,0,0,0,0,0,0,0
"213",213,"2",0,1,0,0,0,0,0,0,0,0
"214",214,"2",0,1,0,0,0,0,0,0,0,0
"215",215,"2",0,1,0,0,0,0,0,0,0,0
"216",216,"3",0,0,1,0,0,0,0,0,0,0
"217",217,"3",0,0,1,0,0,0,0,0,0,0
"218",218,"1",1,0,0,0,0,0,0,0,0,0
"219",219,"1",1,0,0,0,0,0,0,0,0,0
"220",220,"1",1,0,0,0,0,0,0,0,0,0
"221",221,"2",0,1,0,0,0,0,0,0,0,0
"222",222,"5",0,0,0,0,1,0,0,0,0,0
"223",223,"3",0,0,1,0,0,0,0,0,0,0
"224",224,"5",0,0,0,0,1,0,0,0,0,0
"225",225,"1",1,0,0,0,0,0,0,0,0,0
"226",226,"1",1,0,0,0,0,0,0,0,0,0
"227",227,"2",0,1,0,0,0,0,0,0,0,0
"228",228,"1",1,0,0,0,0,0,0,0,0,0
"229",229,"1",1,0,0,0,0,0,0,0,0,0
"230",230,"3",0,0,1,0,0,0,0,0,0,0
"231",231,"3",0,0,1,0,0,0,0,0,0,0
"232",232,"2",0,1,0,0,0,0,0,0,0,0
"233",233,"2",0,1,0,0,0,0,0,0,0,0
"234",234,"1",1,0,0,0,0,0,0,0,0,0
"235",235,"1",1,0,0,0,0,0,0,0,0,0
"236",236,"NA",0,0,0,0,0,0,0,0,0,1
"237",237,"1",1,0,0,0,0,0,0,0,0,0
"238",238,"2",0,1,0,0,0,0,0,0,0,0
"239",239,"NA",0,0,0,0,0,0,0,0,0,1
"240",240,"1",1,0,0,0,0,0,0,0,0,0
"241",241,"3",0,0,1,0,0,0,0,0,0,0
"242",242,"1",1,0,0,0,0,0,0,0,0,0
"243",243,"2",0,1,0,0,0,0,0,0,0,0
"244",244,"5",0,0,0,0,1,0,0,0,0,0
"245",245,"4",0,0,0,1,0,0,0,0,0,0
"246",246,"NA",0,0,0,0,0,0,0,0,0,1
"247",247,"2",0,1,0,0,0,0,0,0,0,0
"248",248,"2",0,1,0,0,0,0,0,0,0,0
"249",249,"3",0,0,1,0,0,0,0,0,0,0
"250",250,"4",0,0,0,1,0,0,0,0,0,0
"251",251,"2",0,1,0,0,0,0,0,0,0,0
"252",252,"2",0,1,0,0,0,0,0,0,0,0
"253",253,"3",0,0,1,0,0,0,0,0,0,0
"254",254,"4",0,0,0,1,0,0,0,0,0,0
"255",255,"2",0,1,0,0,0,0,0,0,0,0
"256",256,"1",1,0,0,0,0,0,0,0,0,0
"257",257,"2",0,1,0,0,0,0,0,0,0,0
"258",258,"1",1,0,0,0,0,0,0,0,0,0
"259",259,"2",0,1,0,0,0,0,0,0,0,0
"260",260,"1",1,0,0,0,0,0,0,0,0,0
"261",261,"2",0,1,0,0,0,0,0,0,0,0
"262",262,"1",1,0,0,0,0,0,0,0,0,0
"263",263,"2",0,1,0,0,0,0,0,0,0,0
"264",264,"3",0,0,1,0,0,0,0,0,0,0
"265",265,"NA",0,0,0,0,0,0,0,0,0,1
"266",266,"2",0,1,0,0,0,0,0,0,0,0
"267",267,"3",0,0,1,0,0,0,0,0,0,0
"268",268,"NA",0,0,0,0,0,0,0,0,0,1
"269",269,"3",0,0,1,0,0,0,0,0,0,0
"270",270,"NA",0,0,0,0,0,0,0,0,0,1
"271",271,"3",0,0,1,0,0,0,0,0,0,0
"272",272,"2",0,1,0,0,0,0,0,0,0,0
"273",273,"2",0,1,0,0,0,0,0,0,0,0
"274",274,"2",0,1,0,0,0,0,0,0,0,0
"275",275,"2",0,1,0,0,0,0,0,0,0,0
"276",276,"1",1,0,0,0,0,0,0,0,0,0
"277",277,"1",1,0,0,0,0,0,0,0,0,0
"278",278,"1",1,0,0,0,0,0,0,0,0,0
"279",279,"2",0,1,0,0,0,0,0,0,0,0
"280",280,"NA",0,0,0,0,0,0,0,0,0,1
"281",281,"2",0,1,0,0,0,0,0,0,0,0
"282",282,"NA",0,0,0,0,0,0,0,0,0,1
"283",283,"3",0,0,1,0,0,0,0,0,0,0
"284",284,"4",0,0,0,1,0,0,0,0,0,0
"285",285,"1",1,0,0,0,0,0,0,0,0,0
"286",286,"2",0,1,0,0,0,0,0,0,0,0
"287",287,"1",1,0,0,0,0,0,0,0,0,0
"288",288,"NA",0,0,0,0,0,0,0,0,0,1
"289",289,"NA",0,0,0,0,0,0,0,0,0,1
"290",290,"3",0,0,1,0,0,0,0,0,0,0
"291",291,"1",1,0,0,0,0,0,0,0,0,0
"292",292,"1",1,0,0,0,0,0,0,0,0,0
"293",293,"3",0,0,1,0,0,0,0,0,0,0
"294",294,"2",0,1,0,0,0,0,0,0,0,0
"295",295,"NA",0,0,0,0,0,0,0,0,0,1
"296",296,"NA",0,0,0,0,0,0,0,0,0,1
"297",297,"NA",0,0,0,0,0,0,0,0,0,1
"298",298,"2",0,1,0,0,0,0,0,0,0,0
"299",299,"6",0,0,0,0,0,1,0,0,0,0
"300",300,"2",0,1,0,0,0,0,0,0,0,0
"301",301,"1",1,0,0,0,0,0,0,0,0,0
"302",302,"1",1,0,0,0,0,0,0,0,0,0
"303",303,"2",0,1,0,0,0,0,0,0,0,0
"304",304,"1",1,0,0,0,0,0,0,0,0,0
"305",305,"1",1,0,0,0,0,0,0,0,0,0
"306",306,"NA",0,0,0,0,0,0,0,0,0,1
"307",307,"3",0,0,1,0,0,0,0,0,0,0
"308",308,"1",1,0,0,0,0,0,0,0,0,0
"309",309,"1",1,0,0,0,0,0,0,0,0,0
"310",310,"NA",0,0,0,0,0,0,0,0,0,1
"311",311,"2",0,1,0,0,0,0,0,0,0,0
"312",312,"1",1,0,0,0,0,0,0,0,0,0
"313",313,"2",0,1,0,0,0,0,0,0,0,0
"314",314,"1",1,0,0,0,0,0,0,0,0,0
