"","id","tr","Trademarks","Trademarks_0to10","Trademarks_10to100","Trademarks_100+","Trademarks_NA"
"888",888,"2","0to10",1,0,0,0
"889",889,"2","0to10",1,0,0,0
"890",890,"0","0to10",1,0,0,0
"891",891,"9","0to10",1,0,0,0
"892",892,"NA","NA",0,0,0,1
"893",893,"7","0to10",1,0,0,0
"894",894,"4","0to10",1,0,0,0
"895",895,"NA","NA",0,0,0,1
"896",896,"NA","NA",0,0,0,1
"897",897,"NA","NA",0,0,0,1
"898",898,"3","0to10",1,0,0,0
"899",899,"9","0to10",1,0,0,0
"900",900,"NA","NA",0,0,0,1
"901",901,"NA","NA",0,0,0,1
"902",902,"3","0to10",1,0,0,0
"903",903,"NA","NA",0,0,0,1
"904",904,"2","0to10",1,0,0,0
"905",905,"1","0to10",1,0,0,0
"906",906,"4","0to10",1,0,0,0
"907",907,"5","0to10",1,0,0,0
"908",908,"NA","NA",0,0,0,1
"909",909,"3","0to10",1,0,0,0
"910",910,"NA","NA",0,0,0,1
"911",911,"NA","NA",0,0,0,1
"912",912,"1","0to10",1,0,0,0
"913",913,"NA","NA",0,0,0,1
"914",914,"4","0to10",1,0,0,0
"915",915,"4","0to10",1,0,0,0
"916",916,"NA","NA",0,0,0,1
"917",917,"NA","NA",0,0,0,1
"918",918,"1","0to10",1,0,0,0
"919",919,"1","0to10",1,0,0,0
"920",920,"2","0to10",1,0,0,0
"921",921,"10","0to10",1,0,0,0
"922",922,"NA","NA",0,0,0,1
"923",923,"NA","NA",0,0,0,1
"924",924,"144","100+",0,0,1,0
"925",925,"14","10to100",0,1,0,0
"926",926,"2","0to10",1,0,0,0
"927",927,"1","0to10",1,0,0,0
"928",928,"1","0to10",1,0,0,0
"929",929,"4","0to10",1,0,0,0
"930",930,"4","0to10",1,0,0,0
"931",931,"2","0to10",1,0,0,0
"932",932,"23","10to100",0,1,0,0
"933",933,"NA","NA",0,0,0,1
"934",934,"3","0to10",1,0,0,0
"935",935,"11","10to100",0,1,0,0
